EventID,Layer,Wire,t,ADC,t0,isSignal
164,0,0,755.625,206,0,0
349,0,0,1243.12,133,0,0
444,0,0,172.875,2006,0,0
1701280,0,0,1588.69,191,0,0
3325589,0,0,1556.25,322,0,0
3325647,0,0,1022.62,255,0,0
349,0,1,1002.75,326,0,0
444,0,1,1053.38,4606,0,0
451,0,1,1871.06,920,0,0
3325489,0,1,1721.44,1782,0,0
3325647,0,1,737.812,1217,0,0
349,0,2,328.875,256,0,0
1701431,0,2,1244.62,181,0,0
3325489,0,2,1719.94,981,0,0
3325589,0,2,1559.06,259,0,0
19,0,3,805.688,80,0,0
107,0,3,304.5,100,0,0
156,0,3,256.5,121,0,0
164,0,3,254.438,178,0,0
238,0,3,158.812,134,0,0
270,0,3,494.25,338,0,0
349,0,3,325.125,227,0,0
389,0,3,1093.88,91,0,0
421,0,3,324,251,0,0
436,0,3,422.062,130,0,0
444,0,3,158.25,133,0,0
1701241,0,3,400.312,108,0,0
1701280,0,3,158.25,290,0,0
1701348,0,3,304.875,182,0,0
1701420,0,3,1840.69,129,0,0
3325443,0,3,1649.06,177,0,0
3325589,0,3,689.812,286,0,0
19,0,4,861.938,104,0,0
46,0,4,188.25,89,0,0
107,0,4,322.688,133,0,0
238,0,4,447.188,126,0,0
280,0,4,1421.44,227,0,0
349,0,4,905.625,441,0,0
1701280,0,4,952.312,214,0,0
1701348,0,4,256.5,232,0,0
1701420,0,4,831.75,136,0,0
1701431,0,4,534.188,83,0,0
3325422,0,4,1487.62,193,0,0
3325589,0,4,1523.44,262,0,0
238,0,5,1368.75,196,0,0
270,0,5,1509.38,1395,0,0
349,0,5,1704.38,324,0,0
1701267,0,5,146.812,90,0,0
1701280,0,5,834.188,2059,0,0
1701348,0,5,239.25,177,0,0
1701414,0,5,265.5,119,0,0
3325422,0,5,1550.25,870,0,0
3325443,0,5,1372.31,171,0,0
19,0,6,169.5,87,0,0
98,0,6,529.5,94,0,0
238,0,6,1367.81,127,0,0
270,0,6,1752.94,266,0,0
349,0,6,968.25,224,0,0
389,0,6,1369.12,94,0,0
1701187,0,6,119.812,1426,0,0
1701280,0,6,801.562,351,0,0
1701273,0,6,697.875,97,0,0
1701348,0,6,324,415,0,0
3325589,0,6,1431.38,276,0,0
98,0,7,1178.25,105,0,0
137,0,7,867,113,0,0
164,0,7,793.5,152,0,0
238,0,7,121.688,131,0,0
270,0,7,313.688,276,0,0
280,0,7,1268.81,116,0,0
285,0,7,482.062,104,0,0
349,0,7,745.688,908,0,0
389,0,7,1371.38,157,0,0
1701187,0,7,138.562,1249,0,0
1701348,0,7,286.5,281,0,0
1701414,0,7,265.875,164,0,0
3325589,0,7,121.5,246,0,0
156,0,8,1133.06,132,0,0
270,0,8,269.25,267,0,0
285,0,8,1900.69,228,0,0
315,0,8,1224.75,407,0,0
349,0,8,101.062,1160,0,0
1701187,0,8,67.875,4017,0,0
1701414,0,8,871.5,168,0,0
1701424,0,8,344.438,170,0,0
3325706,0,8,1516.69,117,0,0
46,0,9,612.188,139,0,0
137,0,9,111.375,135,0,0
164,0,9,227.438,86,0,0
238,0,9,1429.69,101,0,0
270,0,9,372.75,251,0,0
291,0,9,567.188,1317,0,0
285,0,9,420.938,102,0,0
349,0,9,300.188,168,0,0
389,0,9,757.875,227,0,0
436,0,9,805.312,149,0,0
458,0,9,780,106,0,0
1701187,0,9,155.438,4350,0,0
1701241,0,9,59.4375,123,0,0
1701273,0,9,622.688,102,0,0
1701348,0,9,244.5,219,0,0
1701424,0,9,223.5,661,0,0
3325435,0,9,693.188,787,0,0
3325527,0,9,764.062,115,0,0
3325589,0,9,384.188,157,0,0
3325682,0,9,325.5,196,0,0
46,0,10,513.188,81,0,0
291,0,10,508.312,701,0,0
389,0,10,1399.12,2038,0,0
1701187,0,10,296.812,1308,0,0
1701348,0,10,212.25,649,0,0
1701424,0,10,291.938,211,0,0
3325422,0,10,1557,273,0,0
3325435,0,10,661.312,2594,0,0
3325647,0,10,704.062,296,0,0
3325706,0,10,941.25,152,0,0
19,0,11,153.375,235,0,0
46,0,11,345.375,151,0,0
137,0,11,1044,104,0,0
263,0,11,725.812,566,0,0
270,0,11,371.25,272,0,0
291,0,11,804.75,113,0,0
285,0,11,491.062,204,0,0
389,0,11,1376.25,3791,0,0
436,0,11,323.062,135,0,0
1701424,0,11,368.438,338,0,0
3325422,0,11,1517.06,316,0,0
3325435,0,11,643.312,3072,0,0
